ID,跳转,标志,关卡,第几轮战斗后,条件,人物,立绘,立绘位置,内容,CG,看过吗
30060,30061,#,1-0,,,Heart,normal,左,你依然在觉得我弱小，Maid。,,
30061,30062,#,1-0,,,Heart,normal,左,你所告诉我的，不过是人人都能知道的表象。你并不信任我。,,
30062,30063,#,1-0,,,Heart,ding,左,但此时此刻，我无法再像以前一样沉溺于自己的天地之中，我不需要你的保护，请给我应有的帮助——,,
30063,30064,#,1-0,,,Heart,normal,左,Maid，我命令你，别再向我隐瞒任何事了，你不许阻拦我，谁都不许阻拦我。,,
30064,30065,#,1-0,,,Maid,,右,是吗……，,,
30065,30066,#,1-0,,,Maid,,右,……很高兴您会有如此觉悟，主人。,CG-maidhandsword,
30066,30067,#,1-0,,,Maid,,右,您一直把自己藏在三位兄弟姐妹身后，整天把玩不着调的爱好，不肯向世人展示你的才干。,CG-maidhandsword,
30067,30068,#,1-0,,,Maid,,右,我一直在等待，等待着您有一天，能够厌倦这些浮华的消遣，正视这份身为王储的沉重责任。,CG-maidhandsword,
30068,30069,#,1-0,,,Maid,,右,但是，我仍优先服从Spade殿下的最终指令。为此，我甘愿接受您的任何惩罚。,CG-maidhandsword,
30069,E,#,1-0,,,Maid,,右,只要您能通过我的考验——我便不再阻拦。,CG-maidhandsword,
30070,30071,#,1-0,1&2,Heart&blood<0,Maid,,右,看来您尚未准备好承担这份重任……请好好休息吧，主人。,,
30071,50000,#,1-0,,,Maid,,右,晚安。,,
30072,30073,#,1-0,1,Maid&blood<20,Maid,,右,……呃！,,
30073,30074,#,1-0,,,Heart,ding,左,Maid，你错了。,,
30074,30075,#,1-0,,,Maid,,右,主人，我始终相信着您的本事，您会有一天崭露锋芒，何尝有错？这一天已经到来了，史书里会记录下这一幕，英雄的诞生，包括您，包括您处决的我……！,,
30075,30076,#,1-0,,,Maid,,右,您的才能丝毫不亚于其他王的子嗣，为何总是避而不谈？,,
30076,30077,#,1-0,,,Heart,fans,左,……你又为什么一直劝我要走上所谓正途呢……,,
30077,30078,#,1-0,,,Heart,jingyal,左,除却我的王子之责，没有别物象征我了吗？艺术、机关与文学，都无法与管理国家媲美吗？,,
30078,30079,#,1-0,,,Heart,sad,左,我必须成为"有用"的人吗？,,
30079,30080,#,1-0,,,Maid,,右,您必须如此，主人。POKER已经失去殿下了，只有您最适合指引我们走向明天。,,
30080,30081,#,1-0,,,Maid,,右,大王子无常，二公主好战。只有您有治国的禀赋……只是您一直依赖着殿下，忘记了自己。,,
30081,30082,#,1-0,,,Maid,,右,我违背了您的命令，请杀了我吧。,,
30082,E,&,1-0,,,,,,杀了她,,
30083,30087,&,1-0,,,,,,饶恕（Maid入队）,,
30084,30085,#,1-0,2,Maid&blood<0,Heart,sad,左,今时的天空怎么如血一般……？。,,
30085,30086,#,1-0,,,Heart,sad,左,一场谋杀会开启另一场谋杀，我是否已经踏上某条不归路了？,,
30086,E,#,1-0,,,Heart,jingyal,左,……Maid？,,
30087,30088,#,1-0,,,Heart,normal,左,我饶恕你，包括你故意的操控与顶撞，因为你不是凶手。,,
30088,30089,#,1-0,,,Heart,ding,左,但你要真正为我效用，正如过去十六年你扮演的角色。为我开路吧。,,
30089,30090,#,1-0,,,Maid,,右,……遵命，主人。,,
30090,E,#,1-0,,,Maid,,右,感谢您原谅我，感谢您愿让我参与到伟大而不朽的史实背后。,,
