ID,跳转,标志,关卡,位置,条件,人物,立绘,立绘位置,内容,CG,看过吗
22,23,#,2月1日,,,Servant3,,,多亏了她常来探望我们，为我们争取房间修葺，我们才有了铜艺的床架和镜子，还有衣柜——终于让这里温馨一些。,,
23,24,#,2月1日,,,Heart,chouchang,左,……大家都很敬爱姐姐。,,
24,25,#,2月1日,,,Servant1,,,！？,,
25,26,#,2月1日,,,Servant2,,,！？？,,
26,27,#,2月1日,,,Servant3,,,那位殿下……竟然会来这里？,,
27,28,#,2月1日,,,Servant2,,,真是稀奇。我还以为他和Diamond殿下一样，从不在意我们这些仆人的死活。,,
28,29,#,2月1日,,,Servant1,,,唉……Spade殿下的事，恐怕和王室内部脱不了干系。Diamond殿下觊觎王位已久，拒绝承认广受支持的Spade殿下，眼看大势已去，难保不会……那个疯王子，什么都做得出来……,,
29,30,#,2月1日,,,Servant2,,,Club殿下也有嫌疑。谁不知道她战功赫赫，心高气傲？若是嫉妒Spade殿下的威望，又被轻易挑拨——以她的性格和手段，也不是不可能……,,
30,31,#,2月1日,,,Servant2,,,对，听说Club殿下听到消息马上就动身回来了，Club殿下与Diamond殿下也不合吧！从未见过两人说过一句话。,,
31,32,#,2月1日,,,Servant1,,,说起来，……听说Heart王子不是和殿下最亲近吗？,,
32,33,#,2月1日,,,Heart,fan,左,……我正站在你面前。,,
33,34,#,2月1日,,,Servant3,,,（不理他）我早听说，王室子嗣之间不和已久，平时从未齐聚一堂过，就连在破茧节都不愿围坐在同一张桌子旁。这样若有若无的亲近，谁知道是逢场作戏，还是一贯的笑里藏刀？没有人不向往权力。,,
34,35,#,2月1日,,,Servant2,,,夜深了，这个小王子还在城堡里游荡，背着这么鲜红的天色……仿佛秘密地寻找着什么、掩饰着什么……他也有嫌疑！,,
35,36,#,2月1日,,,Heart,ding,左,不，请相信我……我正在搜集皇姐被谋杀的证据与她身体的残骸。我和你们一样难受，若你们真的爱戴她，请告诉我相关线索，助我一臂之力。,,
36,37,#,2月1日,,,Servant2,,,相信？对，我们当然相信您——,,
37,38,#,2月1日,,,Servant2,,,一位从未来探望过我们，也从不关心我们的粮食是否被层层克扣、我们是否正徘徊饿死边缘的皇子。,,
38,39,#,2月1日,,,Servant2,,,傲慢的上位者哟，谁不是喝着上等酒吃着上等草蕨，傲慢地利用着殿下的一切美德与贡献，来为自己争取民众的支持？游说也好，施贿也好……我们可都清楚谁才是真正为民众着想的人。,,
39,40,#,2月1日,,,Servant1,,,还是殿下发明了杂交苔藓，与J相与K相沟通规定用膳分配比例，我们底层小人才终于填饱肚子。……你知道些什么？你对我们尚且漠不关心，怎会真心实意想要拯救殿下！,,
40,41,#,2月1日,,,Heart,chouchang,左,……我很抱歉，我此前完全不了解你们的遭遇，这并非我分内之事。我的职责是谱写优美的音乐，为民众制造欢愉，为文化带来美的感受。现在你们的生活与我有关了，我会像姐姐一样帮助你们。,,
41,42,#,2月1日,,,Servant3,,,可是他真的能够举起武器吗？他真的能够带给我们安定的日子吗？……,,
42,43,#,2月1日,,,Servant2,,,现在知道把责任揽在自己身上了？但一位素来无能无为的皇子，不足以让我信服！不，与她相比，我要为殿下报仇！与她相比，任何一位皇子都不足以当上我们国家的君主！,,
43,44&E,#,2月1日,,Maid&1,Servant1,,,回去吧，小王子，我们的清晨与黑夜，都与你无关。,,
44,E,#,2月1日,,,Maid,,右,……主人，准备迎战吧。,,
45,46,#,3月1日,#S,,Heart,ding,左,这就是陈列间……朝代的旧物，无论有价值与否，最终都汇集于此。,,
46,48&47,#,3月1日,,Maid&1,Heart,biyan,左,我们死亡以后，用过的物品、器具，都会被放进陈列柜吗？,,
47,E,#,3月1日,,,,,,无人回应，只有一阵微风吹过脸庞。,,
48,49,#,3月1日,,,Maid,,右,我想我会放进来的，主人。您可有特别想珍藏之物？,,
49,E,#,3月1日,,,Heart,sad,左,……如果姐姐回不来了——我想让她睡在铺满柔软丝棉的玻璃棺材里，用绣花代替她的头颅。,,
50,51,#,4月1日,#S,,Heart,ding,左,图书馆，熟悉的油墨纸张的气味，我在这里和姐姐度过了很多时光。外面的世界如何倒转，这里的时光都凝固不变地指向过去，让人安心。,,
51,52,#,4月1日,,,Heart,chouchang,左,我还小的时候，姐姐就常带我来这里，坐在窗边的这个位置，握着我的手，念书给我听。我识得的每一个文字都带有她温和低沉的嗓音，告诉我万物的构成与天空的呼吸。,,
52,53&E,#,4月1日,,Maid&1,Heart,smile,左,姐姐一直在为国家的未来努力，她为国家规划更好的未来，为之付出了许多艰辛，却从不教导我应当成为什么。……但世界从这里开始讲述的话，我想我一定不会变成太坏的人。,,
53,E,#,4月1日,,,Maid,,右,……是的，您不是懦弱的叛徒，也不是狡猾的阴谋家。Spade殿下本性纯粹，也同时将这份纯粹传递给了您。,,
54,55,#,5月1日,#S,,Heart,bianren,左,城堡内部的迁移令人琢磨不透，这是哥哥的房间吗？,,
55,56&57,#,5月1日,,Maid&1,,,,这个房间装修豪华，但刚走进门，一股奇异的感觉就涌了上来，——有一团黏液状的、只能被身体感受到的空气顺着四肢缓缓攀附、抬升，直到淹没头顶，伴随着幻觉般嗡嗡的噪声。屋内的家具崭新光亮，但拜访位置和款式与记忆中并无二致——房间的主人是一个念旧的人，或者很注意外表的人。,,
56,57,#,5月1日,,,Maid,,右,……主人，小心行事。,,
57,58,#,5月1日,,,,,,房间里还有两个人，一个女仆抱着托盘浑身战栗；一个高大的、神情阴郁的男人双腿交叠，坐在高背椅里，刘海半遮住他的眼睛，周身漂浮着白色的骨质碎片——那与壳币是相同的材料，如卫星般绕着他缓缓转动。刘海长到半遮住他的眼睛，无法确定那其间有什么样的情绪，但使人本能感受到恐惧，完全未知他下一步的想法、行动……那已经超出正常的认知范畴。,,
58,59,#,5月1日,,,Diamond,,右,把她带走吧。,,
59,60,#,5月1日,,,,,,两个戴着兜帽的人走了进来，把这个女仆架走了，与闯入者擦肩而过。Heart瞟过她裸露的后颈，上面有几道明显的裂缝和歪扭的纺线，像是头颈分离又缝合好，反复许许多多次留下的疤痕。她本人似乎恨不得更快一些离开这里，尽管出门后同样会受到惩罚——总比这个魔鬼亲自施行好太多。,,
60,61,#,5月1日,,,Heart,ding,左,（兜帽……是密教徒？）,,
61,62,#,5月1日,,,Diamond,,右,你好，Heart，我亲爱的兄弟，坐吧。你还好吗？,,
62,63,#,5月1日,,,Heart,normal,左,……你好，——哥。,,
63,64,#,5月1日,,,Heart,fan,左,（好陌生的音节……那是我发出的声音吗？）,,
64,65,#,5月1日,,,,,,Diamond并没有完全听清弟弟在说什么，但至少他现在看起来心情不错，见到Heart以后，表情舒缓了不少，甚至带上了一点笑意。周身的碎片运动速度变慢了。,,
65,66,#,5月1日,,,Diamond,,右,Heart，你许久不来看我，怎么都不会叫哥哥了？,,
66,67,#,5月1日,,,Heart,fans,左,我早就不用叠词了，……哥。,,
67,68,#,5月1日,,,Diamond,,右,不用紧张，亲爱的兄弟，按照你喜欢的方式称呼我就好。,,
68,69,#,5月1日,,,Diamond,,右,——哥，哥哥，兄长，或者直呼其名叫我Diamond？随你心意。,,
69,70,#,5月1日,,,Diamond,,右,真怀念啊，以前和你相处的时光——,,
70,71,#,5月1日,,,Diamond,,右,还记得你六岁那年吗？那天天气很好，天空纯白宁静，我带着你在城堡里四处探索，就像今天晚上的你一样——什么都不知道，对什么都充满好奇。,,
71,72,#,5月1日,,,Diamond,,右,你从大厅选择了一扇门打开，它通向了裁衣间。女工们忙着赶制新衣，钩针闪亮的光泽随着她们灵巧翻飞的手指，满屋子流动，我们溜到桌子底下去，把成衣的尾摆剪成小人形状。你哼着轻快的三拍子舞曲，我们牵着布片的小人随之舞动，在成堆的蕾丝、布料围成的舞池里翩翩旋转，——你还记得吗，Heart？,,
72,73,#,5月1日,,,Heart,chouchang,左,……记得。我还说那是第一届宫廷舞会，后面也没有再办的契机。,,
73,74,#,5月1日,,,Heart,sad,左,——童年过去得太快，我也不是小孩子了。,,
74,75,#,5月1日,,,Diamond,,右,……亲爱的，话又说回来，你怎么突然走到这里来啦？,,
75,76,#,5月1日,,,Heart,ding,左,姐姐被人杀害了，我想找出杀死她的凶手，秘密一定就藏在城堡之内。,,
76,77,#,5月1日,,,Diamond,,右,是吗，姐姐……,,
77,78,#,5月1日,,,Diamond,,右,你总是提到姐姐，姐姐，Spade，哦——这显得你我之间可真生分。,,
78,79,#,5月1日,,,Diamond,,右,你知道吗，Heart，你可以一直当一个无忧无虑的小孩，只要有我在——我能给你的并不比Spade少。你可以继续做你喜欢的事，没有人会催促你，不像你那个贴身女仆。我还会举办更多节日、舞会，一切让你觉得热闹开心的活动。比如说——,,
79,80,#,5月1日,,,,,,他艰难地将嘴角扯出一点幅度，几枚碎片拎着两块布匹小人，突然出现在两人中间。,,
80,81,#,5月1日,,,Diamond,,右,比如说，第二届宫廷舞会，今天举行。,,
81,82,#,5月1日,,,,,,两个小人相互彬彬有礼地鞠了一躬，还向周围致意，仿佛有一大帮在场的观众，随后它们牵着手，在天光下跳起舞来，脚步轻快。,,
82,83,#,5月1日,,,,,,这些碎片应该能无形中替他做很多事——固然，当年指腹下操纵的它们没有这般轻盈与自由，想象中的情形已经从指缝间轻柔地滑落，成为一道永恒的伤疤。天色殷红，导致比起怀旧、场面更像生死相离的诀别。,,
83,84,#,5月1日,,,Heart,fan,左,……,,
84,87,&,5月1日,,,,,,领受这份突如其来的亲近,,
85,96,&,5月1日,,,,,,开门见山，直接道出目的,,
86,96,&,5月1日,,,,,,委婉地说明目的,,
87,88,#,5月1日,,,Heart,chouchang,左,……哥，其实那次你失踪，又奇迹般回来以后，我试着找过你。,,
88,89,#,5月1日,,,Heart,biyan,左,只是我推开的每一扇门，都不是你的房间。,,
89,91&96,#,5月1日,,84@1,Heart,sad,左,接近你时，总让我觉得陌生——好像你不再是你自己了。自那以后你总是低着头穿行在城堡里，POKER很少刮大风，大风也从未穿堂过房间，但你身边的碎片总是纷飞着，像风暴，像一场连绵不绝的降雨，阻隔在你与世界之间。,,
90,102,#,5月1日,,,Heart,jingyas,左,"你以前从来不伤害别人，哪怕是低贱的奴仆……
……我能问，你失踪的时候发生了什么吗？",,
91,92,#,5月1日,,,,,,仿佛受到某种惊吓，他勉强佩戴在脸上的笑意如同被狂风撕碎的薄纱，骤然消失。他猛地抖了一下，原本温顺的碎片像是被投入石子的平静湖面，开始疯狂地增殖、躁动，相互碰撞发出细碎的声响。他猛地将脸深深埋入双臂之间，长发垂落，遮住了一切表情。,,
92,93,#,5月1日,,,Heart,jingyal,左,？！！,,
93,94,#,5月1日,,,,,,Diamond突然抬起头，双眼在刘海的阴影下闪烁着异常的光芒，周围的碎片如同暴风雪般狂舞。,,
94,95&E,#,5月1日,,Maid&1,Diamond,,右,出去……出去！,,
95,E,#,5月1日,,,Maid,,右,主人……退到我身后！快走！,,
96,97,#,5月1日,,,Heart,ding,左,……哥，我在找姐姐留下的痕迹和杀死姐姐的凶手。如果你知道相关的事，可以告诉我吗？,,
97,98,#,5月1日,,,Diamond,,右,她，不配……不，我是说她不应该被杀。,,
98,99,#,5月1日,,,Diamond,,右,有关她为什么被取走头颅，我并不知情。这几天我未曾出过房间一步。,,
99,100,#,5月1日,,,Diamond,,右,亲爱的弟弟，我最近身体不好。你也知道我和她并不熟络，你问错人啦。,,
100,101,#,5月1日,,,Diamond,,右,而且，明天正是大选的日子……我要准备肩负这一切了，我会得到的。,,
101,102,#,5月1日,,,,,,他用手扶住额头，露出眼下的乌青，看起来饱受失眠的折磨，很久没有休息好。,,
102,91&103,#,5月1日,,90@1,Heart,bianren,左,"（城堡里关于大哥的传言，我也有所耳闻——
——关于那次失踪后罹患的奇怪病症和获得的、操纵碎片的能力。天知道这些碎片是从哪来的？方片的禀赋会有这般强大吗？）",,
103,104,#,5月1日,,,Heart,chouchang,左,哥，你好好休息，照顾好自己。,,
104,105,#,5月1日,,,Diamond,,右,如果你着急的话——先别急，把这杯水喝完吧，要多喝水——就先走吧。,,
105,106,#,5月1日,,,Diamond,,右,我是该多休息一下。是的。是的。是的……不要听，不要看，不要说……,,
106,107,#,5月1日,,,Diamond,,右,不送你了，你走吧，走吧！,,
107,&109,#,5月1日,,,Diamond,,右,切记一定不要走到城堡的中心，一定不要随便打开大厅的门，任何一扇都不行。只有宫廷现在使用的房间是安全的。小心虫子，小心Club，如果她伤害你，你就来找我。我会杀了她的。你要好好地，我也好好地，我们永远在一起。,,
108,109,#,5月1日,,@1,Heart,normal,左,（……还是不要告诉他已经见过Club了。）,,
109,111,&,5月1日,,,,,,普通地道别,,
110,112,&,5月1日,,,,,,叫他哥哥,,
111,EE,#,5月1日,,,Heart,normal,左,……好的，再见了，哥。,,
112,EE,#,5月1日,,,Heart,smile,左,……好的，再见了，哥哥。,,
