Type,ID,Speaker,IMG,Position,NextID,Text,CG,IsWatched,Condition
#,56,Heart,fan,左,57,我……（张嘴）,,,
#,57,Club,qingmiexiao,右,58,（打断）大选我会胜出，我会封你做J相，顶替那个老不死的管理国家。,,,
#,58,Club,qingmie,右,59,还愣着干嘛？你在想什么？房间里的武器随你挑选，我也会安排人帮衬你。,,,
#,59,Club,qingmiexiao,右,60,就这么说定了，明天见，拜拜——,,,
#,60,,,,E,Club干脆利落地把客人赶了出去，随即关上了门。,,,
#,61,Club,qingmie,右,62,现在你我既然发现了真相，而Spade已经为了它而牺牲——为了保卫国家，为了让POKER永远光荣下去，我得当上国王。,,,
#,62,Club,qingmiexiao,右,63,你过来，我目前有一个战略，我要你参与进来。士兵们没有热情是不会拼尽全力战斗的，我们需要一个靶子——,,,
#,63,Heart,jingyal,左,64,……你打算，让大哥成为靶子？,,,
#,64,Club,qingmiexiao,右,65,呵呵。这个疯子目前没有必死的理由，又有密教团的支持，竞选恐怕与我难分高下。他的嫌疑也很大——那些奇怪的碎片杀人不留痕，你能找到线索才是做梦。这场仗……我打定了。,,,
@,65,,,,68,以理服人,,,
@,66,,,,70,转移注意,,,
@,67,,,,76,打亲情牌,,,
#,68,Heart,fanbo,左,69,……这只能是充分条件，不能倒推……打个比方，我说你只会打仗，Q相在打仗，你和Q相不是一个人。,,,
#,69,Club,qingmie,右,56,你在说什么？我和Q相当然不是一个人！你果然无法理解我。,,,
#,70,Heart,jiqie,左,71,不要着急这么快下结论，,,,
#,71,Heart,normal,左,72,密教团与姐姐的死，我觉得更有关系。,,,
#,72,Club,huaiyi,右,73,哦？有什么证据？,,,
#,73,Heart,fans,左,74,姐姐在调查密教团。她在密教相关的书籍里做了非常详细的解读，并且断定他们在城堡深处有一个秘密据点。你也讨厌密教团这个和官方相悖的组织，对吧——相悖是造反的意思。,,,
#,74,Club,qingmie,右,75,……有道理。这个团体我也要铲除掉，等我杀了那个拖把，下一步就是把他们全揪出来，不惜一切代价，一网打尽！,,,
#,75,Heart,fans,左,56,……,,,
#,76,Heart,sad,左,77,大哥也是我们的亲人，这样做的话，与你对大哥的指控有何差异呢？你会成为同你的敌人一样的人。,,,
#,77,Club,qingmiexiao,右,78,呵……你和Spade真像。但我杀的是一个不会给王国带来利益的亲人——虽然你也如此，但他还会带来威胁，而你暂时不会。这样一个定时炸弹，不如趁早解决。,,,
#,78,Heart,jiqie,左,79,……,,,
@,79,,,,81,威胁她,,,
@,80,,,,84,劝说她,,,
#,81,Heart,fanbo,左,82,你太冲动行事了！我警告你，不许动手，不要再给这个国家带来更大的麻烦了。虽说我无用，但我若是立马倒戈协助大哥——最次也会两败俱伤。,,,
#,82,Club,qingmiexiao,右,83,你有什么本事，还敢威胁我？,,,
#,83,Club,shengqi,右,E,那我现在就杀了你!,,,
#,84,Heart,sad,左,85,姐姐死了，肯定涉及到她要清除的王国的威胁——连她都无法独立解决，你呢？你没有她那样的头脑，只会同她一样死掉。,,,
#,85,Heart,fanbo,左,86,大哥至少是——一位亲人，不，一枚棋子。你可以与之结盟而使唤的小兵。这么说你很乐意吧？你可以让他走在前面——你们一起把威胁铲除，而他会成为你的盾和矛。,,,
#,86,,,,87,Club沉默了一会，但Heart很有把握地注视着她的脸，那种怀疑和愤怒、逐渐被动摇取代。也许，也许——她也是希望和Diamond搞好关系的吧？,,,
#,87,Club,qingmie,右,88,好吧，但他要是当上国王——对谁都没好处，你别被他说服了。,,,
#,88,Club,qingmie,右,89,看在你是我弟的份上，虽然我已经忘了你叫什么，他如果真要对你下手，你随时可以向我求救，我会亲自手刃他。这个词语怎么样，是不是很有文采？Spade教我的。,,,
#,89,Heart,gaxiao,左,90,是、是的（吧？是的吗？）,,,
#,90,Club,qingmie,右,E,你已经浪费我太多时间了，快走吧，我还要打磨一下我的剑。拜拜。,,,
